run_id	timestamp	K	inner_lr	meta_lr	meta_train_stop_iter	overall_avg_pr_auc	overall_std_pr_auc	overall_avg_auc	overall_std_auc	idiopathic_pulmonary_fibrosis.avg_pr_auc	idiopathic_pulmonary_fibrosis.std_pr_auc	idiopathic_pulmonary_fibrosis.avg_auc	idiopathic_pulmonary_fibrosis.std_auc	HBV-HCC.avg_pr_auc	HBV-HCC.std_pr_auc	HBV-HCC.avg_auc	HBV-HCC.std_auc	cirrhosis.avg_pr_auc	cirrhosis.std_pr_auc	cirrhosis.avg_auc	cirrhosis.std_auc	ipf_ssc.avg_pr_auc	ipf_ssc.std_pr_auc	ipf_ssc.avg_auc	ipf_ssc.std_auc	IgA_nephropathy.avg_pr_auc	IgA_nephropathy.std_pr_auc	IgA_nephropathy.avg_auc	IgA_nephropathy.std_auc
K1_inner1.00e-04_meta1.00e-05	2026-01-02 11:18:21	1	0.0001	1e-05	13726	0.7881960879092369	0.16475139685617363	0.8086311111111113	0.16800621011449854	0.7687628322810386	0.14096279944057732	0.7955555555555556	0.14130537808782515	0.9997521241830065	0.0012718902294024939	0.9997333333333333	0.0013799266396675525	0.7742336139192377	0.14540343282587984	0.7573333333333333	0.14952897237741894	0.7590731750896305	0.10693601752162461	0.8182222222222222	0.12463873721606306	0.6391586940732709	0.12196994620754145	0.6723111111111111	0.1589653025267068
K1_inner2.00e-04_meta1.00e-05	2026-01-02 11:26:39	1	0.0002	1e-05	13726	0.7873111552026818	0.16513184318900578	0.8082133333333332	0.1682229500057646	0.7638500746299561	0.13844210237579743	0.7938222222222221	0.13870746550800472	0.9997521241830065	0.0012718902294024939	0.9997333333333333	0.0013799266396675525	0.7716389006472866	0.14712687776359343	0.7548888888888888	0.15125891464392852	0.7615684849909051	0.11045783130942645	0.8196444444444445	0.1274063083501261	0.6397461915622545	0.12232020835634348	0.6729777777777777	0.15808755817388892
K1_inner5.00e-04_meta1.00e-05	2026-01-02 11:34:53	1	0.0005	1e-05	13726	0.7868086815249152	0.1646694604402726	0.8065422222222223	0.16935708296560048	0.767442471149015	0.13566077578410513	0.7935111111111111	0.1356486674746727	0.9994937908496732	0.0015922210873316714	0.9994666666666666	0.0016958919136301255	0.7714637338193293	0.14789156927024133	0.7526222222222222	0.15519350883714558	0.7592422341549575	0.1068424016697387	0.8182222222222222	0.12647002279855363	0.6364011776516011	0.12107336702779525	0.6688888888888889	0.15982521317186504
K1_inner1.00e-03_meta1.00e-05	2026-01-02 11:42:47	1	0.001	1e-05	13726	0.7858892850085535	0.16583300036233198	0.8061955555555556	0.170443474660431	0.7675698417612825	0.13693310720476634	0.7936000000000001	0.13634570441019075	0.9994937908496732	0.0015922210873316714	0.9994666666666666	0.0016958919136301255	0.7720897144771951	0.1511533675821303	0.7538666666666666	0.15685776209950272	0.755911753448703	0.1066797693377242	0.8170666666666668	0.13012543995490194	0.6343813245059133	0.12048056172799869	0.6669777777777779	0.15929350811754714
K1_inner2.00e-03_meta1.00e-05	2026-01-02 11:50:00	1	0.002	1e-05	12763	0.7628839769941844	0.1763178455248857	0.7858488888888888	0.17617433251480488	0.7412571824090733	0.14612642978646886	0.7725333333333334	0.13589448339533125	0.9997521241830065	0.001271890229402494	0.9997333333333333	0.0013799266396675525	0.7369058588930086	0.1577871277093417	0.7157333333333336	0.1538162058600627	0.6784430304489795	0.1338212910552277	0.7477333333333331	0.16141732738540468	0.6580616890368544	0.12614817054761213	0.6935111111111111	0.16181369564646075
K1_inner3.00e-03_meta1.00e-05	2026-01-02 11:56:42	1	0.003	1e-05	12763	0.7585963003800812	0.17844300912464606	0.7808977777777777	0.17973457500395368	0.7441631539235456	0.15957700695319296	0.7678222222222223	0.14966777364929235	0.9998382352941176	0.0011323529411764665	0.9998222222222222	0.001244444444444437	0.7298691157592585	0.14990591017605334	0.7055999999999999	0.15028153989950963	0.6621343728193367	0.13209404786337303	0.7372000000000001	0.16362969937795072	0.656976624104147	0.12231154761601608	0.6940444444444444	0.1629102244629474
K1_inner5.00e-03_meta1.00e-05	2026-01-02 12:02:59	1	0.005	1e-05	12521	0.7656710984359586	0.1774867089049627	0.7884533333333333	0.17548540910821203	0.7607996945979394	0.16418871218578995	0.7807111111111112	0.15072528522095513	0.9996764705882353	0.001584963951212639	0.9996444444444443	0.001741859372645805	0.7413027626380148	0.13288036338415704	0.7228888888888889	0.13874517008610504	0.6889205275723167	0.14840899325966697	0.7443555555555554	0.16392046249535583	0.637656036783287	0.11493575125823274	0.6946666666666667	0.1594787806621354
K1_inner7.00e-03_meta1.00e-05	2026-01-02 12:03:52	1	0.007	1e-05	1602	0.7734727519605199	0.17436408050123717	0.7871822222222222	0.17963114712455616	0.8221317381891392	0.1435683079559913	0.8083555555555557	0.16611675798651568	1.0	0.0	1.0	0.0	0.7202746385271948	0.12121763846071222	0.7103111111111111	0.12821799338299011	0.6610516029188785	0.1543521312437227	0.7088000000000001	0.18741488142028043	0.6639057801673863	0.10829700422740023	0.7084444444444444	0.13485355568720273
K1_inner1.00e-02_meta1.00e-05	2026-01-02 12:05:03	1	0.01	1e-05	2154	0.7628471579893673	0.18244549969566756	0.7789688888888889	0.17986618762805825	0.8233405963332088	0.15821045390217656	0.8040888888888891	0.16988906184134792	0.9999138888888889	0.0006027777777777786	0.9999111111111111	0.0006222222222222262	0.7076406590075726	0.10834265821102558	0.7004444444444445	0.10280414076302904	0.6636757912157504	0.15039988377823102	0.7108444444444444	0.16610194103265263	0.6196648545014163	0.11746767032062198	0.6795555555555556	0.15684859413294555
K1_inner2.00e-02_meta1.00e-05	2026-01-02 12:06:11	1	0.02	1e-05	2154	0.7604292959043225	0.18414896666797656	0.7808177777777778	0.17786620822862792	0.8250585157965247	0.15772468477100118	0.8099555555555555	0.16809065161541206	1.0	0.0	1.0	0.0	0.713040222202463	0.11217003846861194	0.7083555555555556	0.10288054681804645	0.6452303660219946	0.14862706502123038	0.6938666666666667	0.16488263540103346	0.6188173755006308	0.11341736804335774	0.6919111111111111	0.15017077356985248
K3_inner1.00e-04_meta1.00e-05	2026-01-02 12:14:32	3	0.0001	1e-05	13647	0.875536866198012	0.12247546788349307	0.8971735344394168	0.09859534415998923	0.8886621794808732	0.08254597342852235	0.8775565610859727	0.0816358315976184	1.0	0.0	1.0	0.0	0.9395802645856799	0.08785773530077724	0.9268444444444445	0.10464457421949906	0.7793531452653225	0.1092411182947136	0.8484	0.08968894394888742	0.7700887416581845	0.09164738029877628	0.8330666666666668	0.06796460952693063
K3_inner2.00e-04_meta1.00e-05	2026-01-02 12:22:59	3	0.0002	1e-05	13647	0.8758161810729641	0.12237545916034122	0.8973621317244846	0.09853902765662396	0.8905281782588446	0.08014779420130448	0.8780995475113121	0.08164586314526465	1.0	0.0	1.0	0.0	0.93849033764147	0.08972907065942932	0.9260444444444446	0.10526396215417251	0.7818710400001844	0.109288029436807	0.8504	0.08925528929238126	0.7681913494643218	0.09211410886804962	0.8322666666666667	0.06830467691812099
K3_inner5.00e-04_meta1.00e-05	2026-01-02 12:29:53	3	0.0005	1e-05	12538	0.8748994066376788	0.12255969848812522	0.896074932126697	0.10358085022108694	0.8778841446927828	0.09959609628718713	0.8735746606334841	0.10315416283788054	0.9999138888888889	0.0006027777777777786	0.9999111111111111	0.0006222222222222262	0.9261745177782905	0.09326597645073474	0.9144	0.10294933669492935	0.7920832630557917	0.10466959392407434	0.8631111111111112	0.07330504504895712	0.77844121877264	0.10536139888500194	0.8293777777777778	0.09936021510483466
K3_inner1.00e-03_meta1.00e-05	2026-01-02 12:36:51	3	0.001	1e-05	12538	0.873605975768612	0.12289614771821626	0.8958987631975868	0.10276769677716048	0.8768539266425717	0.09954115967110012	0.874027149321267	0.10150425698881407	0.9999138888888889	0.0006027777777777786	0.9999111111111111	0.0006222222222222262	0.9272752693097002	0.09059015993051962	0.9146666666666667	0.10223767999067927	0.7905973562384168	0.1004884176104469	0.8624444444444446	0.07130840685984291	0.7733894377634826	0.10735731965339756	0.8284444444444445	0.0982171944414552
K3_inner2.00e-03_meta1.00e-05	2026-01-02 12:44:12	3	0.002	1e-05	13379	0.8745627973434333	0.12330886719265796	0.8947163800904977	0.10043825234765331	0.8947780862113466	0.07921116734054662	0.8839819004524887	0.08259999737746629	1.0	0.0	1.0	0.0	0.9417490941651465	0.08533310593005741	0.9315555555555557	0.09058384016349402	0.7946592544665616	0.09865658438177635	0.8619555555555555	0.07949176834470285	0.7416275518741117	0.08956902452010852	0.7960888888888888	0.07572602990345044
K3_inner3.00e-03_meta1.00e-05	2026-01-02 12:51:02	3	0.003	1e-05	12538	0.8737981765052871	0.12202021416532431	0.8945397285067872	0.1030330657734663	0.8803943055162313	0.09812996365646175	0.8742986425339367	0.10095382621341721	0.9999138888888889	0.0006027777777777786	0.9999111111111111	0.0006222222222222262	0.9297529312176006	0.08507919438547187	0.915911111111111	0.09828088745786831	0.7873466706466447	0.10168574081123961	0.8587555555555555	0.0764511108204388	0.77158308625707	0.10116791523172254	0.8238222222222221	0.09556179824569346
K3_inner5.00e-03_meta1.00e-05	2026-01-02 12:51:50	3	0.005	1e-05	1246	0.8865130914457543	0.1254191827225584	0.9001335344394167	0.10422703890497811	0.9450647402488959	0.05949794253525449	0.9175565610859728	0.08806359904937523	1.0	0.0	1.0	0.0	0.9140241097310564	0.1240567088657687	0.910488888888889	0.1231231763040975	0.8306280657781002	0.0952866505723833	0.8650666666666668	0.08050095007490884	0.7428485414707185	0.09906144499688155	0.8075555555555555	0.06882577754243675
K3_inner7.00e-03_meta1.00e-05	2026-01-02 12:52:35	3	0.007	1e-05	1246	0.8834917629110776	0.12690295848285307	0.8982426546003016	0.10494476227805995	0.9437752857503046	0.06087532988844209	0.9157466063348416	0.08997081896246995	1.0	0.0	1.0	0.0	0.9128502956353093	0.124291885329661	0.9092444444444443	0.12184617706024893	0.8164317443724055	0.09751533987157321	0.8553777777777778	0.08495383205157327	0.7444014887973686	0.09972430988368494	0.8108444444444443	0.06819672342876712
K3_inner1.00e-02_meta1.00e-05	2026-01-02 12:59:10	3	0.01	1e-05	13100	0.8725738105948837	0.14151470707120506	0.889107209653092	0.125272641154396	0.9117573618493529	0.08732564644103746	0.8914027149321266	0.09459070117813065	1.0	0.0	1.0	0.0	0.9257016345455892	0.13170121491748624	0.9159999999999999	0.14917782908783067	0.8258749966709554	0.10657474448708255	0.8552000000000001	0.10202527888158014	0.6995350599085208	0.10528232669215985	0.7829333333333334	0.10680494740471275
K3_inner2.00e-02_meta1.00e-05	2026-01-02 13:00:11	3	0.02	1e-05	1889	0.8751050062880583	0.1427372735544848	0.8903499648064355	0.12540387156517305	0.9257108222004692	0.09377068281718302	0.8959276018099548	0.1225868603835291	1.0	0.0	1.0	0.0	0.9193358631220028	0.12578452285914493	0.9121777777777779	0.12571905971374683	0.8074173845965283	0.10489894645119133	0.8567111111111112	0.08593565206767385	0.7230609615212912	0.13577955575615802	0.7869333333333334	0.1267108227129498
K5_inner1.00e-04_meta1.00e-05	2026-01-02 13:07:27	5	0.0001	1e-05	13279	0.9004824513213655	0.11087001995232343	0.9155012407475565	0.0843469404649663	0.9417529425184012	0.05241781267523123	0.9143540669856458	0.06523515935358719	1.0	0.0	1.0	0.0	0.9678799752864339	0.0578323464703058	0.9597333333333333	0.07060603968150439	0.8351441812891064	0.09563627345582865	0.8803076923076923	0.06417931815132889	0.7576351575128862	0.07347408646742347	0.8231111111111111	0.05779145137346746
K5_inner2.00e-04_meta1.00e-05	2026-01-02 13:14:50	5	0.0002	1e-05	13490	0.8992252035562337	0.10895465594563618	0.9178137095652885	0.08015805680291428	0.949619791706965	0.04610072525532326	0.9244976076555024	0.06402400193227827	1.0	0.0	1.0	0.0	0.967675213458048	0.04918340354842288	0.9589333333333333	0.060218925699033185	0.8175438934105236	0.08096761098800274	0.8766153846153847	0.05374016430657398	0.7612871192056323	0.07194593573111185	0.8290222222222222	0.05866735689829653
K5_inner5.00e-04_meta1.00e-05	2026-01-02 13:21:59	5	0.0005	1e-05	13279	0.8996190306573871	0.1112161973079502	0.9148290516501042	0.08443328615716623	0.9431400892616734	0.050305379002035085	0.9151196172248802	0.06366197275835794	1.0	0.0	1.0	0.0	0.9670932165543965	0.05882616755311708	0.958488888888889	0.07209108093666845	0.8308663430047383	0.09539895422657141	0.8776923076923075	0.06418712371462115	0.7569955044661278	0.07184367412513964	0.8228444444444445	0.05722132038124286
K5_inner1.00e-03_meta1.00e-05	2026-01-02 13:29:12	5	0.001	1e-05	13279	0.8988386472201839	0.11251155866859626	0.9151155735492578	0.0840160493765591	0.9425789141494754	0.05062592091625972	0.914736842105263	0.06380479203724833	1.0	0.0	1.0	0.0	0.9651269841310266	0.060222831588229095	0.955911111111111	0.07426793003779468	0.8334283993885017	0.09568604913141082	0.8803076923076922	0.06453075450859884	0.7530589384319167	0.07666461364407304	0.8246222222222223	0.05720198563418781
K5_inner2.00e-03_meta1.00e-05	2026-01-02 13:36:30	5	0.002	1e-05	13279	0.9009094944543468	0.11019821715647833	0.9154949069643806	0.08404522095471599	0.9443476646558311	0.05040835068602905	0.9169856459330142	0.0634657027349384	1.0	0.0	1.0	0.0	0.9674132741102227	0.05747028717770076	0.9588444444444445	0.07102110971177063	0.834633855158085	0.09544793771235853	0.8793333333333332	0.06421202961188079	0.7581526783475951	0.06973927332778682	0.8223111111111112	0.05576309678419021
K5_inner3.00e-03_meta1.00e-05	2026-01-02 13:43:33	5	0.003	1e-05	13279	0.9004073005575634	0.11039190308610504	0.9158687212203003	0.08334903058743225	0.9459569125984806	0.052088465027574894	0.9199521531100479	0.06414911959018156	1.0	0.0	1.0	0.0	0.969036638490467	0.05134267890583424	0.9603555555555556	0.06439900313621533	0.831475401889174	0.09068787886180486	0.8774358974358972	0.06289320754704404	0.7555675498096955	0.07017600787376234	0.8216	0.05549692906641295
