run_id	timestamp	K	inner_lr	meta_lr	meta_train_stop_iter	overall_avg_pr_auc	overall_std_pr_auc	overall_avg_auc	overall_std_auc	idiopathic_pulmonary_fibrosis.avg_pr_auc	idiopathic_pulmonary_fibrosis.std_pr_auc	idiopathic_pulmonary_fibrosis.avg_auc	idiopathic_pulmonary_fibrosis.std_auc	HBV-HCC.avg_pr_auc	HBV-HCC.std_pr_auc	HBV-HCC.avg_auc	HBV-HCC.std_auc	cirrhosis.avg_pr_auc	cirrhosis.std_pr_auc	cirrhosis.avg_auc	cirrhosis.std_auc	ipf_ssc.avg_pr_auc	ipf_ssc.std_pr_auc	ipf_ssc.avg_auc	ipf_ssc.std_auc	IgA_nephropathy.avg_pr_auc	IgA_nephropathy.std_pr_auc	IgA_nephropathy.avg_auc	IgA_nephropathy.std_auc
K1_inner1.00e-04_meta1.00e-05	2026-01-02 13:59:59	1	0.0001	1e-05	4085	0.7651467271456818	0.17442682622329853	0.7819377777777777	0.17240159284303266	0.7837808096709863	0.1567379493377539	0.7896	0.15264996835737038	0.9999138888888889	0.0006027777777777787	0.9999111111111111	0.0006222222222222262	0.7273007263634699	0.13708089698757048	0.7169777777777778	0.1267981851332519	0.6454575667012499	0.13761953217143938	0.6904888888888889	0.16575516080452318	0.669280644103814	0.09703175989641738	0.712711111111111	0.12965522371673668
K1_inner2.00e-04_meta1.00e-05	2026-01-02 14:02:41	1	0.0002	1e-05	4085	0.7650109390398162	0.17430589430253474	0.7818399999999999	0.17221184794560307	0.7820107039940695	0.15660940276313448	0.7882666666666667	0.1524690877392837	0.9999138888888889	0.0006027777777777787	0.9999111111111111	0.0006222222222222262	0.7276910324946156	0.1372837677817221	0.7178222222222224	0.12692176262233557	0.6450315718340467	0.13799691878449785	0.6896	0.16570414808132605	0.6704074979874598	0.09638386889367977	0.7136	0.1288832489187476
K1_inner5.00e-04_meta1.00e-05	2026-01-02 14:05:10	1	0.0005	1e-05	4085	0.7644384060231184	0.1757125553803756	0.7820444444444444	0.1729366629223429	0.7786977002056321	0.16118143738098392	0.7877333333333334	0.15417946253203332	0.9999138888888889	0.0006027777777777787	0.9999111111111111	0.0006222222222222262	0.7266471224494195	0.13996328430056143	0.7179555555555557	0.12818569863028142	0.6475943125970864	0.13935309412308072	0.6914666666666666	0.16709713889579467	0.6693390059745653	0.09802569064606192	0.7131555555555554	0.12982711390989496
K1_inner1.00e-03_meta1.00e-05	2026-01-02 14:07:40	1	0.001	1e-05	4085	0.7647369543622805	0.17502497795311872	0.7821333333333333	0.17281675730361992	0.7830856764562271	0.1593506635507628	0.7872888888888889	0.15403449349150725	0.9999138888888889	0.0006027777777777787	0.9999111111111111	0.0006222222222222262	0.7286412306582524	0.13788297370484154	0.7190222222222222	0.1278403016112266	0.6413734560222525	0.13457560109701905	0.6910222222222222	0.1670596611105457	0.6706705197857815	0.0981763522028641	0.7134222222222222	0.1299610273965827
K1_inner2.00e-03_meta1.00e-05	2026-01-02 14:09:25	1	0.002	1e-05	2944	0.7651336703562028	0.17596566807070696	0.7822222222222223	0.17246185479121082	0.8004730059711274	0.15186416522174465	0.795377777777778	0.1526871019801971	1.0	0.0	1.0	0.0	0.7009071637881576	0.1376404090855613	0.6936000000000001	0.12691020642102493	0.6712384018203731	0.13874037906981754	0.7183111111111111	0.1574711010132367	0.6530497802013561	0.10792523591833805	0.7038222222222222	0.13716209388894587
K1_inner3.00e-03_meta1.00e-05	2026-01-02 14:11:14	1	0.003	1e-05	2944	0.763952126373128	0.17780040382412066	0.7811733333333334	0.17294659442572666	0.7986956824353015	0.16207825954642166	0.7939555555555556	0.15728752628840575	1.0	0.0	1.0	0.0	0.7031050226414176	0.13676993673957522	0.6946666666666667	0.12476862536929391	0.6569655528530477	0.13674065345026407	0.7066666666666667	0.15776963985272724	0.6609943739358739	0.10824520689666997	0.7105777777777778	0.13523281068742066
K1_inner5.00e-03_meta1.00e-05	2026-01-02 14:12:54	1	0.005	1e-05	2944	0.7544397411990971	0.18344992198775253	0.77008	0.1794968097519037	0.7899136061585272	0.16833140553311196	0.7834666666666666	0.16631735839563982	1.0	0.0	1.0	0.0	0.7012472987266303	0.1367077972470997	0.6931555555555557	0.12610310498326263	0.625372398216408	0.13802781927597926	0.6662222222222222	0.16200533446483092	0.6556654028939196	0.10672762486640107	0.7075555555555556	0.13278107852708088
K1_inner7.00e-03_meta1.00e-05	2026-01-02 14:13:55	1	0.007	1e-05	1602	0.7740432612477208	0.17454619035384294	0.7871111111111111	0.1799719045288822	0.823426671944754	0.14265632442389567	0.8086222222222222	0.16683052093681594	1.0	0.0	1.0	0.0	0.725094029413376	0.12012696317472076	0.7136888888888889	0.12721391336283316	0.6571111429493045	0.15472576564383234	0.7041777777777779	0.18890961454922245	0.6645844619311694	0.1098405240656986	0.7090666666666665	0.13454621676005776
K1_inner1.00e-02_meta1.00e-05	2026-01-02 14:15:09	1	0.01	1e-05	2154	0.7628069426468254	0.18199658685916134	0.7796977777777778	0.17925460896325066	0.8220878325442574	0.15949964927872362	0.8037333333333333	0.17188766931981345	0.9999138888888889	0.0006027777777777786	0.9999111111111111	0.0006222222222222262	0.709548262790348	0.10708891863312872	0.703111111111111	0.10043264434128336	0.6608959387591589	0.1487044391912662	0.7090666666666666	0.16512342708664784	0.6215887902514737	0.1170188268141605	0.6826666666666666	0.15627516093713012
K1_inner2.00e-02_meta1.00e-05	2026-01-02 14:16:15	1	0.02	1e-05	1897	0.7834519673063958	0.16903746933415653	0.8045155555555555	0.1634129658636232	0.8439690191447824	0.13816109484270453	0.8295111111111111	0.15468904052730842	1.0	0.0	1.0	0.0	0.7374980998609167	0.11515518193611074	0.738488888888889	0.10335740699266266	0.6532577733067035	0.1483898819597239	0.691111111111111	0.17604096044127465	0.6825349442195764	0.09326131787495323	0.7634666666666666	0.10086163116852369
