Metrics,Value
Overall Average PR_AUC,0.93475674561804
Overall Std PR_AUC,0.09231980016194626
Overall Average AUC,0.9402021903242956
Overall Std AUC,0.07538682890082032

Disease,Average PR_AUC,Std PR_AUC,Average AUC,Std AUC
idiopathic_pulmonary_fibrosis,0.9798692696037707,0.020415511931772434,0.9629665071770335,0.038845192378832
HBV-HCC,1.0,0.0,1.0,0.0
cirrhosis,0.9591177187304453,0.0975487295034322,0.9545777777777777,0.10125256040048727
ipf_ssc,0.9162329829420117,0.054863554472958743,0.9279999999999999,0.03663649466880472
IgA_nephropathy,0.8185637568139721,0.09456717528051341,0.8554666666666667,0.06068735503981367

Predicted,Actual
0.9495798349380493,1.0
0.5481033325195312,0.0
0.133019357919693,0.0
0.835320770740509,1.0
0.9515634179115295,1.0
0.9488791823387146,1.0
0.8892637491226196,1.0
0.8661651015281677,0.0
0.9551961421966553,1.0
0.9388124942779541,1.0
0.9495841264724731,1.0
0.943457305431366,1.0
0.9485031962394714,1.0
0.9420987963676453,1.0
0.9428067803382874,1.0
0.9487439393997192,1.0
0.19499193131923676,0.0
0.9154149293899536,1.0
0.5676665306091309,0.0
0.564476490020752,0.0
0.6522013545036316,0.0
0.8824412226676941,1.0
0.4119700491428375,0.0
0.9524425268173218,1.0
0.9377896189689636,1.0
0.24210233986377716,0.0
0.8273856043815613,0.0
0.8972741365432739,1.0
0.16943469643592834,0.0
0.871048092842102,1.0
0.9446632862091064,0.0
0.9520124197006226,1.0
0.9096896052360535,0.0
0.9565221071243286,1.0
0.8161564469337463,0.0
0.9583483338356018,1.0
0.9253644347190857,1.0
0.35084158182144165,1.0
0.9527953863143921,1.0
0.8457641005516052,1.0
0.9539356827735901,1.0
0.9579702019691467,1.0
0.9532650113105774,1.0
0.270133912563324,0.0
0.8277669548988342,0.0
0.9517377614974976,1.0
0.9588272571563721,1.0
0.9561310410499573,1.0
0.6197235584259033,1.0
0.9496455192565918,1.0
0.936980128288269,1.0
0.5658365488052368,0.0
0.9574902057647705,1.0
0.9336456060409546,1.0
0.9466908574104309,1.0
0.10393248498439789,0.0
0.9060881733894348,0.0
0.4971025884151459,0.0
0.13446354866027832,0.0
0.07028082013130188,0.0
0.9470340609550476,1.0
0.6728888750076294,0.0
0.7545081377029419,1.0
0.9406837821006775,1.0
0.9507583975791931,1.0
0.09735587984323502,0.0
0.9170862436294556,1.0
0.9493650794029236,1.0
0.941839873790741,1.0
